rule_id,rule_set,description,smarts,rule_set_name,priority,mincount,source,catalog_description
0,1,R1 Reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
1,1,R2 Acid halides,"[S,C](=[O,S])[F,Br,Cl,I]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
2,1,R3 Carbazides,O=CN=[N+]=[N-],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
3,1,R4 Sulphate esters,"COS(=O)O[C,c]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
4,1,R5 Sulphonates,"COS(=O)(=O)[C,c]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
5,1,R6 Acid anhydrides,C(=O)OC(=O),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
6,1,R7 Peroxides,OO,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
7,1,R8 Pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
8,1,R9 Paranitrophenyl esters,C(=O)Oc1ccc(N(=O)~[OX1])cc1,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
9,1,R10 esters of HOBT,C(=O)Onnn,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
10,1,R11 Isocyanates & Isothiocyanates,"N=C=[S,O]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
11,1,R12 Triflates,OS(=O)(=O)C(F)(F)F,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
12,1,R13 lawesson's reagent and derivatives,P(=S)(S)S,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
13,1,R14 phosphoramides,NP(=O)(N)N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
14,1,R15 Aromatic azides,cN=[N+]=[N-],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
15,1,R16 beta carbonyl quaternary Nitrogen,"C(=O)C[N+,n+]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
16,1,R17 acylhydrazide,[N;R0][N;R0]C(=O),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
17,1,"R18 Quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
18,1,R19 Phosphoranes,C=P,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
19,1,R20 Chloramidines,[Cl]C([C&R0])=N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
20,1,R21 Nitroso,[N&D2](=O),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
21,1,R22 P/S Halides,"[P,S][Cl,Br,F,I]",GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
22,1,R23 Carbodiimide,N=C=N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
23,1,R24 Isonitrile,[N+]#[C-],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
24,1,R25 Triacyloximes,C(=O)N(C(=O))OC(=O),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
25,1,R26 Cyanohydrins,N#CC[OH],GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
26,1,R27 Acyl cyanides,N#CC(=O),GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
27,1,R28 Sulfonyl cyanides,S(=O)(=O)C#N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
28,1,R29 Cyanophosphonates,P(OCC)(OCC)(=O)C#N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
29,1,R30 Azocyanamides,[N;R0]=[N;R0]C#N,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
30,1,R31 Azoalkanals,[N;R0]=[N;R0]CC=O,GSK,8,1,ChEMBL,Glaxo Wellcome Hard filters
