mw_bins,bertz,mw,clogp,sas,qed,whitlock,barone,smcm,twc,percentile
200.0,253.82034119273737,173.12044948,1.3114,2.726404359389722,0.6183845504194114,12.0,228.0,21.368,5.014940349792936,median
250.0,399.4527377640816,230.116761068,1.9749,2.5647009041289426,0.7561219019305644,15.0,315.0,27.59,6.704252727089627,median
300.0,547.349297378847,280.1535405,2.2768000000000006,2.6754469566035173,0.8233679028490414,19.0,393.0,33.324,8.228512685788253,median
350.0,693.0130176156013,329.07217896,2.6012000000000004,2.7558247294314633,0.8181702960911393,23.0,468.0,38.638,9.680375706551576,median
400.0,856.4999170957814,373.15904048,3.1469000000000023,2.6910401189900064,0.7278539600658751,26.0,546.0,43.225,11.034552654118269,median
450.0,1022.4242965392059,423.143035392,3.7989200000000025,2.6607320470306455,0.5899982155560243,28.0,618.0,47.83,12.42984385684502,median
500.0,1184.2381357958566,472.195799236,4.348200000000002,2.7252122105130363,0.4494766573346832,31.0,684.0,52.67,13.776831114618831,median
550.0,1313.2865953674857,521.9942374600001,5.020000000000003,2.8870328273099872,0.3429383531208108,33.0,747.0,58.233,15.037734611974791,median
600.0,1430.70012730722,571.235221524,5.385620000000004,3.026470434586553,0.281053456135643,36.0,792.0,63.551,16.303209667766936,median
inf,1648.5510750979315,647.222069996,6.139140000000007,3.194673002561844,0.1934012240261557,39.0,891.0,70.869,18.197165719466167,median
200.0,400.3631367594394,195.104799416,2.612700000000001,3.9270776424412,0.7372388853652936,17.0,297.0,27.5795,5.86856391896347,90
250.0,560.6284263275398,247.0156663276,3.292800000000001,3.5830515743386604,0.8543219919825191,21.0,381.0,33.405,7.50087720250271,90
300.0,727.2205099988548,296.15247788,3.6803000000000026,3.580487566576048,0.9110064480966432,24.0,468.0,39.338,9.034245501157118,90
350.0,882.6427697086162,346.02905910000004,4.031500000000003,3.57092304873952,0.9124210946425164,28.0,543.0,44.771,10.502189250272991,90
400.0,1062.0469538676225,394.141638424,4.697020000000004,3.5754587082254545,0.8568502621054831,31.0,624.0,49.963,11.984743515002528,90
450.0,1248.852361007175,444.137133432,5.362342000000006,3.5079562812337293,0.7508987733272012,35.0,705.0,55.618,13.523688915731354,90
500.0,1423.4364995338526,493.29405672799993,6.024000000000007,3.575561196103057,0.6231291261439408,38.0,783.0,61.699,15.031583851963994,90
550.0,1591.5895145451282,543.1827920280001,6.818540000000006,3.762254506099669,0.4959636810748563,42.0,861.0,68.347,16.559601522873972,90
600.0,1767.3106167265507,593.3464862239998,7.292904000000006,4.082764127521278,0.4040846028613879,46.0,939.0,74.667,18.02376708402008,90
inf,2079.9370909577838,746.192764656,8.131520000000005,4.688450036162551,0.30146379164234366,52.0,1077.0,88.97,21.044732081372533,90
200.0,523.0722616466223,199.110947416,3.592120000000002,5.199733376433597,0.7926300850643628,25.0,360.0,34.897,6.376599401107343,99
250.0,713.5432188871032,249.147726848,4.327097,4.860939949984077,0.8946388817369645,28.0,441.0,40.672,7.975710687665719,99
300.0,884.1665969010775,299.163376912,4.825980000000004,4.611759371398991,0.9407742742573733,32.0,528.0,46.5963999999999,9.57375592682146,99
350.0,1060.8979254631988,349.157245976,5.254520000000002,4.497027206185522,0.9414953227617806,35.0,606.0,52.212,11.106426773281727,99
400.0,1255.2660881356169,399.134969244,6.0298600000000055,4.634814431272157,0.9067704845953255,39.0,696.0,59.031,12.726344218374742,99
450.0,1458.2945784835713,449.1405288,6.830600000000006,4.737658353816669,0.8242377881541593,45.0,783.0,67.095,14.396561098069308,99
500.0,1648.3432696193463,499.121901792,7.555617000000005,4.833451106054538,0.7179416570892944,50.0,873.0,75.049,16.066138911644575,99
550.0,1832.7006792605778,549.1634916967998,8.474780000000031,5.175800173883084,0.6064880119371997,54.0,981.0,86.72840000000014,17.85355840754413,99
600.0,2034.818369099492,599.2128377164801,9.234360800000038,5.5212513095433,0.5138004136760799,58.0,1062.0,94.235,19.595557093662023,99
inf,2503.436991863866,916.9450934520002,11.624419999999985,6.68713126541636,0.4144557266959494,85.0,1362.0,141.035,26.957123988205776,99
200.0,632.3377824339035,199.983677008,4.2954000000000025,6.170665597774882,0.8080276748326117,39.0,441.0,44.516,6.808889036888719,999
250.0,842.358436686085,249.939619276,5.171009879999999,6.095699384835887,0.9052059409967932,42.0,516.0,50.0,8.509120099401057,999
300.0,1015.8798112564592,299.220891788,5.800936000000039,5.75683037285448,0.946202313956226,43.0,600.3600000003353,57.047,10.129056709890904,999
350.0,1195.0932503937738,349.247775232,6.283320000000005,5.540000750367592,0.9469796849913468,45.0,666.0,63.737,11.610961737080457,999
400.0,1412.032052721329,399.252191916,7.245488800000033,5.645974680763642,0.9202844562974074,49.0,762.0,72.14944000000133,13.311413326312271,999
450.0,1623.010846289299,449.2790753600001,8.103600000000009,5.763351799599027,0.8491562108733581,54.0,855.0,82.02,15.104685692124995,999
500.0,1822.8298813340687,499.29586486738395,9.029400000000004,5.976814344135696,0.757502714545121,58.0,954.0,89.532,16.89230312749154,999
550.0,2018.1607688721406,549.9297651216,10.524699999999992,6.511537498726621,0.660824931930161,65.0,1062.0,97.407,18.75192813905842,999
600.0,2229.7019700708765,599.9354022560001,11.758599999999984,6.706303558749502,0.5880499009935979,72.0,1158.0,106.001,20.49014666297586,999
inf,3079.5347357599344,985.4235089973347,17.140243999999917,7.668941981093118,0.5005032594506992,107.0,1650.0,171.90538299999736,30.23772951527287,999
200.0,750.6198037876808,199.99976088,5.707400000000006,8.418936832440771,0.8253533666203707,50.0,612.0,52.094,7.763986810496193,max
250.0,1010.2264590660196,249.999327072,6.877700000000007,8.702033453724471,0.9096051246016968,64.0,702.0,70.094,9.72816797455986,max
300.0,1371.3799242101547,299.99972099600006,8.438100000000006,7.979551990728746,0.9480940037247508,90.0,951.0,97.0,11.5449232547596,max
350.0,1675.1915237015614,349.99995968799993,9.608399999999998,7.966994914964512,0.9484196135564312,94.0,1188.0,106.002,14.057008756997623,max
400.0,2061.683203984285,399.9999198599999,11.168799999999989,7.925676791906909,0.92614483510388,93.0,1668.0,103.799,15.24614611325798,max
450.0,2417.091915637653,449.99973806000014,12.33909999999998,7.808323264062839,0.862197125000566,86.0,2250.0,111.0,17.44412004295005,max
500.0,3144.6233711605623,499.999982736,13.899499999999971,7.808326611805062,0.7811040816435134,74.0,1467.0,100.129,18.8644889192561,max
550.0,3302.8734354066232,549.9996019560001,15.45989999999996,7.881230118744459,0.6968232199370888,92.0,3636.0,113.891,21.4110201040315,max
600.0,3384.502700337678,599.998334772,16.630199999999963,7.950338056535001,0.6263506319193443,172.0,2136.0,192.002,23.18488720823899,max
inf,7292.79927161175,1077.885948642,24.78240000000004,8.425008819825079,0.5764808051946543,158.0,4266.0,183.565,39.07962087416451,max
