Structure [idcode]	Value
gGP@LdbKT`]RMdmGJFCPpWN@PBJpd@	polar activated DB
gGP@DjVePNlFJXhypB@Q\xA@HjlPd@	twice activated DB
eM@HvCjFtQ[N@PBDiBHqJrlD@	acyl-halogenide type
eFBJHcAbc\@axABIVVQFIV@	Cl,Br,I on N,O,P,S,Se,I
gC`HADIKRAuHubL	allyl/benzyl chloride
eM@HzCBKUFTqJp	prim. alkyl-bromide/iodide
gC`@H}PFrbcLfIV@	sec./tert. alkyl-bromide/iodide
gC`hH`DIVtAuL`	alkyl sulfonate/sulfate type
gJQ`@bdjt`P	anhydride
gJXA@IczhB	quart. ammonium
gChA@Icm@P	tert. immonium
fHT`P	carbenium
gCh`hEIWILtAuM@	aromatic nitro
gCd@Adeb@p`}M@	1,2-diamino-aryl
gJT@@TeXHCA@`	1,3-diamino-aryl
gGT@ATeV@`LDJ	1,4-diamino-aryl
gCd@ADiZDEsA@	azo
gJU@h`NdiLsPdh	azoxy
eMPRIncTH	diazo
eMPRI^cxH	diazo
gJT@@Te^lB	1,1-dinitrile
eMHAIhLDhsW@H^@Pb@	formaldehyde aduct
eO@HyjCYJLipB@	oxiran/aziridine
eMPBchLDkR	hydrazine
eM`AITLYs`D@`	isocyanate type
fH@MjM~@p\@aHZA`x^@QDYAQbU`	unwanted atom
fHw`dB	phosphonium
gCi@hAteIi`H	nitrone
eMhHRVCZP	nitroso
gCa`@lduPD	orthoester/acid
eFDBcA@	peroxo
gGY@HDiViPMdmEGN@PBKg@HA@	N-acyloxy-amide
gC`@H{PFJVQFIV[HcDk@	1,1-dihalo-alkene
gC`@DiZDEbedQbUfrHqJp	1,2-dihalo-alkene
fIRPNj@	pyrylium
gCaHHGAIZPMXb@	silylenol-ether
gCd@ADie@y``	dimethylene-hydrazine
eMPARZCJg}T@	methanediamine
daFD`Bs`BLdTTIUSRpA@	limit! methylene-thiazolidine-2,4-dione
gOtHLPDISOkSM@XP`	limit! thiazol-2-ylamine
gGU@DPdsmRAeDx	acyl-hydrazone
gCh@@eKP`lIIROFIFC`@	imine/hydrazone of aldehyde
deUD@BxIrJJKPlKTmL@ZqP`	2,3-diamino-quinone
difL@DBarJIPhfZif@LHh	limit! 4-acyl-3-azoline-2-one-3-ol
gGT`EPTfyi`H	limit! oxal-diamide
daED@DpFRYUJfjV@H	limit! 5-methylene-imidazolidine-2,4-dione
gJQ@@dls@XpyDXeX	2-halo-enone
gJQ@@djsBJqarHqJp	3-halo-enone
gCd`i`iJyIf`H	N-nitro
gChHD@aIf`LYdXN@	thio-amide/urea
