Structure [idcode]	label	fragment	type	risk
daD@@DiYZYji`@	r3	mol	reproductive	high
daD@@DjUZxHD@@	r3	mol	reproductive	high
daD@@DjUZxHH@@	r3	mol	reproductive	high
daD@@DjWjXHB@@	r3	mol	reproductive	high
daD@@DjWzXHB@@	r3	mol	reproductive	high
daD@@DjYvxH`@@	r3	mol	reproductive	high
daD@@DkeVyjj`@	r3	mol	reproductive	high
daD@P@bBbDfYvzB@@@	r3	mol	reproductive	high
daDD@@IIf]nZZh@@	r3	mol	reproductive	high
daDD@@IIf]n``@@@	r3	mol	reproductive	high
daDD@@YJZUnjjh@@	r3	mol	reproductive	high
daDD@@aJVdnjjh@@	r3	mol	reproductive	high
daDD@@yIe^f`@`@@	r3	mol	reproductive	high
daDH@@RVU[j@@@@	r3	mol	reproductive	high
daDH@@RYVih@H@@	r3	mol	reproductive	high
daDH@@RYe[hB@@@	r3	mol	reproductive	high
daDH`BCDRYg[hH@@@	r3	mol	reproductive	high
daDH`NBPRYWih@H@@	r3	mol	reproductive	high
daDH`NCDRYWih@H@@	r3	mol	reproductive	high
daE@@@YIeZn`B@@@	r3	mol	reproductive	high
daE@@@aJyUnh@@@@	r3	mol	reproductive	high
daED@DpFRYVkfjY@@	r3	mol	reproductive	high
daF@@@RYe[hB@@@	r3	mol	reproductive	high
daFD`L[`BDi]lJjf`@	r3	mol	reproductive	high
daFH@BAIf]n``@@@	r3	mol	reproductive	high
daFH@DAIYUnZjh@@	r3	mol	reproductive	high
daFH@DAIeUnZjh@@	r3	mol	reproductive	high
daFH@FAIeZn`B@@@	r3	mol	reproductive	high
daFH@LAIVUnjjh@@	r3	mol	reproductive	high
daFH@NAIe^fZVh@@	r3	mol	reproductive	high
daFH@NAIe^f`@`@@	r3	mol	reproductive	high
daFH`LP@aIe\jZjX@@	r3	mol	reproductive	high
dax@H@SHbDbLbLddjUUT@@	r3	mol	reproductive	high
dax@P@SHqDjmZjh@@	r3	mol	reproductive	high
daxB@@rnRV{Zj`@	r3	mol	reproductive	high
daxD@@QIgUjj@@	r3	mol	reproductive	high
daxD@@YIgYjf@@	r3	mol	reproductive	high
daxD@@iJU^jj@@	r3	mol	reproductive	high
daxD@@yIUVjj@@	r3	mol	reproductive	high
daxHpJBPRPrPrJPiUUH@@	r3	mol	reproductive	high
daxL@@SDfUVjh@@	r3	mol	reproductive	high
daxL@@idiUZjh@@	r3	mol	reproductive	high
daxL`HS@BLddNRuT@@	r3	mol	reproductive	high
daxL`HS@BLddNbuT@@	r3	mol	reproductive	high
dax``HJn@JRgmjZp@	r3	mol	reproductive	high
day@@@yIUVjj@@	r3	mol	reproductive	high
day@@@yIUWjk@@	r3	mol	reproductive	high
day@PDh@c`aIUUZe@@	r3	mol	reproductive	high
day@`Dp@aIfYjj@@	r3	mol	reproductive	high
dayD@HPNRVUZj`@	r3	mol	reproductive	high
dayD@LHNRUUZZPcH	r3	mol	reproductive	high
dayH@DpDfYfjh@@	r3	mol	reproductive	high
dazB@BAJyImmji@@	r3	mol	reproductive	high
dazD@LADf]Vjh@@	r3	mol	reproductive	high
dazD@LADf^fjh@@	r3	mol	reproductive	high
dazD@LCdeYzjh@@	r3	mol	reproductive	high
dazD@NADf{Vfl@@	r3	mol	reproductive	high
dazH@DAIeYjZ@@	r3	mol	reproductive	high
da{D@HQ`iIYejZ@@	r3	mol	reproductive	high
da{H`Dpn@HRYeZjP@	r3	mol	reproductive	high
dcL@@LdbRbceBDEEP@@	r3	mol	reproductive	high
dcL@X@bBbFbAbEbMbDfYnijjjj@@	r3	mol	reproductive	high
dcL@X@bBdFdAdEdMdDfYni`bHh@@	r3	mol	reproductive	high
dcLB@@imReUUUvjjjh@@	r3	mol	reproductive	high
dcLB@@riRfY~Qfjjjh@@	r3	mol	reproductive	high
dcLD@@IIf]^xViZjP@	r3	mol	reproductive	high
dcLD@@uIfUk[hBBj@@	r3	mol	reproductive	high
dcLDPDtHaXaInUvxY`@i@@	r3	mol	reproductive	high
dcLDPEt@b@cIDhTdiaUUUM@@	r3	mol	reproductive	high
dcLF@@Rag\bbTVTILuSUT@@	r3	mol	reproductive	high
dcLH@@RYeUqVhHH`@@	r3	mol	reproductive	high
dcLJ@@PUuInUgzV`BJ@@	r3	mol	reproductive	high
dcLL@@STfue^UZX@HBL`	r3	mol	reproductive	high
dcLL@@STfyWWaZ@Bh@@	r3	mol	reproductive	high
dcL`@@qaRfU~ZxHDj`Hj@	r3	mol	reproductive	high
dcM@@@aJufYgZhBH@@	r3	mol	reproductive	high
dcM@PEtH`haIf]u[hHBj@@	r3	mol	reproductive	high
dcM@PEtHchcHhheETppDQT@@	r3	mol	reproductive	high
dcMD`LE]@HRV[]nEjiih@@	r3	mol	reproductive	high
dcMH`BuPBDf[U{aj@BX@@	r3	mol	reproductive	high
dcN@@@Ri]mUvjl@@@@	r3	mol	reproductive	high
dcNB@BAEuInVVFV`HF@@	r3	mol	reproductive	high
dcNBAHAEvISdfyV{iZ@HX@@	r3	mol	reproductive	high
dcNBAHAEvISdfyW[aZ@BX@@	r3	mol	reproductive	high
dcND@BADf{YU]Zj@@@@	r3	mol	reproductive	high
dcND@E@\bbRafUM@AUP@@	r3	mol	reproductive	high
dcND@E@dfYwYn``Jh@@	r3	mol	reproductive	high
dcND@MBldTtRROSPPQP@@	r3	mol	reproductive	high
dcNH@EAJ[WU[j@Bj@@	r3	mol	reproductive	high
dcNH@FAIfYWgZ`hH@@	r3	mol	reproductive	high
dcNH`Bp@aJY{UWZZjj`@	r3	mol	reproductive	high
dcNL@FA]rJJJJJlLADU@@@	r3	mol	reproductive	high
dcNL@LB]RVV]vE`BFP@@	r3	mol	reproductive	high
dcNL@M@iRYg^vzB@j`@@	r3	mol	reproductive	high
dcNLaIQ]BHf]yInUvxY`@f@@	r3	mol	reproductive	high
dcOD@DgPGHheDhkrmUSU@@	r3	mol	reproductive	high
dcOH@NFPrQISQHrmTAA@@@	r3	mol	reproductive	high
dcOLAHHPSXeNrJZJIHlKTuUH@@	r3	mol	reproductive	high
dclD@@GIEEHhfUKmAU@P@@	r3	mol	reproductive	high
dclD@@UIfV][iuhFAH@@	r3	mol	reproductive	high
dclD@@iJYW]rnF``JX@@	r3	mol	reproductive	high
dcll@DpYAmRYV]zzUZije`@	r3	mol	reproductive	high
dcll@Dsm@iRYgeVE]ZjeZ`@	r3	mol	reproductive	high
dcm@@@YJYYwhUtH@@@@@	r3	mol	reproductive	high
dcm@@@{IDeCDdUKh@UUD@@	r3	mol	reproductive	high
dcm@@@{IDeCEDUSh@UUD@@	r3	mol	reproductive	high
dcmD@DHERYYUZz]Z``R@@	r3	mol	reproductive	high
dcmD@DpFRYV]Zy]Zi`@@@	r3	mol	reproductive	high
dcnD@D@TfYg\fWVjYjh@@	r3	mol	reproductive	high
dcnDPN[PBABLdTRbauCtuTuSP@@	r3	mol	reproductive	high
dcnL@LAFRYV]Zy]Zi`@@@	r3	mol	reproductive	high
dcnL@LAMRYUUrhYZh@h@@	r3	mol	reproductive	high
dcnL`LaA@HrRPjIKTrzmPHD@@	r3	mol	reproductive	high
dcndADkaTMz]yIefU[iUjeji@@	r3	mol	reproductive	high
dco@@@bdigyWJWYj`@P@@	r3	mol	reproductive	high
dctB@@RURY]VvjjZ@@	r3	mol	reproductive	high
dctB@@ieReUWZjjj@@	r3	mol	reproductive	high
dctF@@rngTen{mjjj`@	r3	mol	reproductive	high
dctFPHSNePBABLddNRTbuUK@@	r3	mol	reproductive	high
dctH@@RYuUVjjj@@	r3	mol	reproductive	high
dctHxJBPRPrPFPfPVPvPrJPqJQUUUT@@	r3	mol	reproductive	high
dcu@`Dp@aIeUUZjjh@@	r3	mol	reproductive	high
dcuFPBvDsiT@`PcIICdeHmURp@@	r3	mol	reproductive	high
dcwD@HQ`iIYgmZfjh@@	r3	mol	reproductive	high
deL@@Di[ernDYZjij@@	r3	mol	reproductive	high
deL@@DjYeIjGijjjj@@	r3	mol	reproductive	high
deLD@@EJUWhRfFZjjj`@	r3	mol	reproductive	high
deT@@DjWvifjih@@	r3	mol	reproductive	high
deT@@LdbTRoBuUM@@	r3	mol	reproductive	high
deTD@@EIe]jZ@Bh@@	r3	mol	reproductive	high
deTD@@QImeQej@@@@	r3	mol	reproductive	high
deTD@@eIfu~Eh@H@@	r3	mol	reproductive	high
deTD@@gHhhhjppDQ@@@	r3	mol	reproductive	high
deTD`AdHaIe]jZ@BX@@	r3	mol	reproductive	high
deTD`NDHaIfVVfBA`@@	r3	mol	reproductive	high
deTH@@RUYTYY`@@aH	r3	mol	reproductive	high
deTH@@RUYTYi`@@aH	r3	mol	reproductive	high
deTH@@RV[TYjP@@@	r3	mol	reproductive	high
deTH@@RYVZfZZj`@	r3	mol	reproductive	high
deTH`IBHrJJJJlLADP@@	r3	mol	reproductive	high
deTL@@PTfyVzV`B@@@	r3	mol	reproductive	high
deTL@@QdfygFV``@@@	r3	mol	reproductive	high
deTd@HRi@TefUzVjih@@	r3	mol	reproductive	high
deU@@@aJWeQfj@@@@	r3	mol	reproductive	high
deU@@@aJueQfj@@@@	r3	mol	reproductive	high
deU@`Dp@aIgeQej@@@@	r3	mol	reproductive	high
deUD@DdARYgxfZjf`@	r3	mol	reproductive	high
deUH@HPDefuFVh@@@@	r3	mol	reproductive	high
deUH@JdDin_xZB@`@@	r3	mol	reproductive	high
deV@@@RgYTYj`@@@	r3	mol	reproductive	high
deVD@BADf{YxVjjX@@	r3	mol	reproductive	high
deVD@D@TfVgJfjih@@	r3	mol	reproductive	high
deVD@DAdfygFV``@@@	r3	mol	reproductive	high
deVD@FADfygFV``@@@	r3	mol	reproductive	high
deVD@IADfyWxV`@`@@	r3	mol	reproductive	high
deVDAHAHeNR[e[aZ@B@@	r3	mol	reproductive	high
deVDAHAHeNR[e_aZ@B@@	r3	mol	reproductive	high
deVDAHAHeNR[fTYZ@`@@	r3	mol	reproductive	high
deVDPJJPqFqDfYokjVjX@@	r3	mol	reproductive	high
deVDaBxPbBd^RYeei``X@@	r3	mol	reproductive	high
deVDaNFPbNf^RYWZf`@f@@	r3	mol	reproductive	high
deVH@IAIe]ZZ@Bh@@	r3	mol	reproductive	high
deVH@LAIUeQfjjj@@	r3	mol	reproductive	high
deVHpDxHbhbXcHheEJptuMH@@	r3	mol	reproductive	high
deW@@@RTfyWxV`@`@@	r3	mol	reproductive	high
deWH@DZPR[e_aZ@B@@	r3	mol	reproductive	high
ded@@DiUUjjj@@	r3	mol	reproductive	high
ded@@Dj_VfZZ@@	r3	mol	reproductive	high
dedB@@RiR[UUijhHr@	r3	mol	reproductive	high
dedB@@iiReUvjjh@@	r3	mol	reproductive	high
dedD@@QIkWZjj`@	r3	mol	reproductive	high
dedD@@QInUVfj`cH	r3	mol	reproductive	high
dedD@@QInUVjj`@	r3	mol	reproductive	high
dedD@@aJVfjjj`@	r3	mol	reproductive	high
dedH@@RUUVjjh@@	r3	mol	reproductive	high
dedHXDBHjPZPzPFPfPRYZZjjh@@	r3	mol	reproductive	high
dedHXJBPRPrPzPFPfPrJPsRUSU@@	r3	mol	reproductive	high
dedH`HALRkUUjjh@@	r3	mol	reproductive	high
dedJ@@rneI[nvjj`@	r3	mol	reproductive	high
ded`@@iiReUvjjh@@	r3	mol	reproductive	high
dedd@BXYADfyvZZfBL`	r3	mol	reproductive	high
dee@@@gHeHiCuUV@@	r3	mol	reproductive	high
deeD@BdDR[mUjjh@@	r3	mol	reproductive	high
deeL@HdBEIVUfji`@	r3	mol	reproductive	high
defD@LADf^]Zjj@@	r3	mol	reproductive	high
defD`FFPBDiWnjjf@@	r3	mol	reproductive	high
defH@DAIfWvjj`@	r3	mol	reproductive	high
defH@DAIfuVjj`@	r3	mol	reproductive	high
defL@IAAR[UYjjX@@	r3	mol	reproductive	high
defL`F`Y@HRkvyjjX@@	r3	mol	reproductive	high
defL`JHY@HrJJEJUMS@@	r3	mol	reproductive	high
deflAHrfxDfISdfvyZfi@@	r3	mol	reproductive	high
degD@HZPEIUUfji`@	r3	mol	reproductive	high
det@@DjYUX^d@@@@@	r3	mol	reproductive	high
det``Dki@HRYYUnFVjVi@@	r3	mol	reproductive	high
det``DkiBHRYYUnFXBBa@@	r3	mol	reproductive	high
deth@DkiAIeeVxYZiZd@@	r3	mol	reproductive	high
deth@DxYAIeeZxYZfYh@@	r3	mol	reproductive	high
deu@@@kIEEDceCLaPD@@	r3	mol	reproductive	high
deu@`Dp@aIeURhYfh@@@@	r3	mol	reproductive	high
dev@@@RYyULFZh@H@@	r3	mol	reproductive	high
dev`@@rfeJY{ZxYBBJD@@	r3	mol	reproductive	high
dew@@@pldTTJVTLmP@P@@	r3	mol	reproductive	high
dg\B@@Q[R[VUmgVf@HhBL`	r3	mol	reproductive	high
dg\D@@eIfU_Un`HJj`@@	r3	mol	reproductive	high
dg\H@@RYWY^ih@Jmh@@	r3	mol	reproductive	high
dg\H@@RYvYiVvfZjjBL`	r3	mol	reproductive	high
