name,rules,description
rule_of_five,"MW <= 500 & logP <= 5 & HBD <= 5 & HBA <= 10","leadlike;druglike;small molecule;library design"
rule_of_five_beyond,"MW <= 1000 & logP in [-2, 10] & HBD <= 6 & HBA <= 15 & TPSA <=250 & rotatable bond <= 20","leadlike;druglike;small molecule;library design"
rule_of_four,"MW >= 400 & logP >= 4 & RINGS >=4 & HBA >= 4","PPI inhibitor;druglike"
rule_of_three,"MW <= 300 & logP <= 3 & HBA <= 3 & HBD <= 3 & ROTBONDS <= 3","fragment;building block"
rule_of_three_extended,"MW <= 300 & logP in [-3, 3] & HBA <= 6 & HBD <= 3 & ROTBONDS <= 3 & TPSA <= 60","fragment;building block"
rule_of_two,"MW <= 200 & logP <= 2 & HBA <= 4 & HBD <= 2","fragment;reagent;building block"
rule_of_ghose,"MW in [160, 480] & logP in [-0.4, 5.6] & Natoms in [20, 70] & refractivity in [40, 130]","leadlike;druglike;small molecule;library design"
rule_of_veber,"rotatable bond <= 10 & TPSA < 140","druglike;leadlike;small molecule;oral"
rule_of_reos,"MW in [200, 500] & logP in [-5, 5] & HBA in [0, 10] & HBD in [0, 5] & charge in [-2, 2] & rotatable bond in [0, 8] & NHeavyAtoms in [15, 50]","druglike;small molecule;library design;HTS"
rule_of_chemaxon_druglikeness,"MW < 400 & logP < 5 & HBA <= 10 & HBD <= 5 & rotatable bond < 5 & ring > 0","leadlike;druglike;small molecule"
rule_of_egan,"TPSA in [0, 132] & logP in [-1, 6]","druglike;small molecule;admet;absorption;permeability"
rule_of_pfizer_3_75,"not (TPSA < 75 & logP > 3)","druglike;toxicity;invivo;small molecule"
rule_of_gsk_4_400,"MW <= 400 & logP <= 4","druglike;admet;small molecule"
rule_of_oprea,"HBD in [0, 2] & HBA in [2, 9] & ROTBONDS in [2,8] and RINGS in [1, 4]","druglike;small molecule"
rule_of_xu,"HBD <= 5 & HBA <= 10 & ROTBONDS in [2, 35] & RINGS in [1, 7] & NHeavyAtoms in [10, 50]","druglike;small molecule;library design"
rule_of_cns,"MW in [135, 582] & logP in [-0.2, 6.1] & TPSA in [3, 118] & HBD <= 3 & HBA <= 5","druglike;CNS;BBB;small molecule"
